"Snowflake Function","Postgresql Function","Replica Emulation","Notes"
`: <https://docs.snowflake.net/manuals/sql-reference/functions/get_path.html>`__,not supported,not supported,""
`:: <https://docs.snowflake.net/manuals/sql-reference/functions/cast.html>`__,not supported,not supported,""
`ABS <https://docs.snowflake.net/manuals/sql-reference/functions/abs.html>`__,`ABS <https://www.postgresql.org/docs/12/functions-json.html>`__,not supported,""
`ACOS <https://docs.snowflake.net/manuals/sql-reference/functions/acos.html>`__,`ACOS <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`ACOSH <https://docs.snowflake.net/manuals/sql-reference/functions/acosh.html>`__,`ACOSH <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`ADD_MONTHS <https://docs.snowflake.net/manuals/sql-reference/functions/add_months.html>`__,not supported,not supported,""
`ALTER PIPE <https://docs.snowflake.net/manuals/sql-reference/sql/alter-pipe.html>`__,not supported,not supported,""
`ANY_VALUE <https://docs.snowflake.net/manuals/sql-reference/functions/any_value.html>`__,not supported,`ANY_VALUE <https://bitbucket.org/healthunion/snowshu/src/master/snowshu/adapters/target_adapters/functions/ANY_VALUE.sql>`__," Emulates as GREATEST (ie MAX value) 
"
`APPROXIMATE_JACCARD_INDEX <https://docs.snowflake.net/manuals/sql-reference/functions/approximate_jaccard_index.html>`__,not supported,not supported,""
`APPROXIMATE_SIMILARITY <https://docs.snowflake.net/manuals/sql-reference/functions/approximate_similarity.html>`__,not supported,not supported,""
`APPROX_COUNT_DISTINCT <https://docs.snowflake.net/manuals/sql-reference/functions/approx_count_distinct.html>`__,not supported,not supported,""
`APPROX_PERCENTILE <https://docs.snowflake.net/manuals/sql-reference/functions/approx_percentile.html>`__,not supported,not supported,""
`APPROX_PERCENTILE_ACCUMULATE <https://docs.snowflake.net/manuals/sql-reference/functions/approx_percentile_accumulate.html>`__,not supported,not supported,""
`APPROX_PERCENTILE_COMBINE <https://docs.snowflake.net/manuals/sql-reference/functions/approx_percentile_combine.html>`__,not supported,not supported,""
`APPROX_PERCENTILE_ESTIMATE <https://docs.snowflake.net/manuals/sql-reference/functions/approx_percentile_estimate.html>`__,not supported,not supported,""
`APPROX_TOP_K <https://docs.snowflake.net/manuals/sql-reference/functions/approx_top_k.html>`__,not supported,not supported,""
`APPROX_TOP_K_ACCUMULATE <https://docs.snowflake.net/manuals/sql-reference/functions/approx_top_k_accumulate.html>`__,not supported,not supported,""
`APPROX_TOP_K_COMBINE <https://docs.snowflake.net/manuals/sql-reference/functions/approx_top_k_combine.html>`__,not supported,not supported,""
`APPROX_TOP_K_ESTIMATE <https://docs.snowflake.net/manuals/sql-reference/functions/approx_top_k_estimate.html>`__,not supported,not supported,""
